step,algorithm,reward,loss,epsilon,beta,replay_size
159023,a3c,2.982167,79.096046,,,
160047,a3c,3.000000,82.078285,,,
161027,a3c,3.000000,65.686546,,,
162047,a3c,2.982167,84.398300,,,
163019,a3c,3.000000,70.867393,,,
164053,a3c,3.000000,63.157837,,,
165016,a3c,2.982167,79.178513,,,
166010,a3c,3.000000,80.101814,,,
167024,a3c,3.000000,81.106392,,,
168021,a3c,3.000000,83.122589,,,
169027,a3c,3.000000,82.400024,,,
170049,a3c,3.000000,82.530807,,,
171011,a3c,2.982167,78.221123,,,
172025,a3c,3.000000,70.242569,,,
173035,a3c,3.000000,79.532822,,,
174045,a3c,2.982167,77.635681,,,
175051,a3c,3.000000,78.758667,,,
176027,a3c,3.000000,69.160858,,,
177032,a3c,-1.000000,77.216507,,,
178040,a3c,2.982167,84.307854,,,
179013,a3c,3.000000,78.260689,,,
180043,a3c,2.982167,79.379623,,,
181010,a3c,3.000000,67.087654,,,
182002,a3c,-1.000000,82.763824,,,
183024,a3c,-1.000000,83.484245,,,
184059,a3c,2.982167,82.117363,,,
185024,a3c,2.982167,84.543457,,,
186008,a3c,2.982167,74.698669,,,
187042,a3c,3.000000,70.871895,,,
188055,a3c,3.000000,44.498775,,,
189025,a3c,3.000000,68.138321,,,
190040,a3c,2.982167,87.865196,,,
191023,a3c,3.000000,80.175011,,,
192016,a3c,-1.000000,64.457077,,,
193030,a3c,3.000000,71.058136,,,
194029,a3c,2.982167,84.653755,,,
195036,a3c,3.000000,67.420853,,,
196003,a3c,2.982167,68.051094,,,
197029,a3c,3.000000,81.180092,,,
198035,a3c,3.000000,79.905205,,,
199045,a3c,3.000000,82.840355,,,
200049,a3c,3.000000,82.880257,,,
201003,a3c,3.000000,75.912193,,,
202041,a3c,2.982167,80.355797,,,
203002,a3c,2.982167,66.013542,,,
204015,a3c,3.000000,81.735306,,,
205005,a3c,3.000000,70.422440,,,
206000,a3c,3.000000,83.388512,,,
207042,a3c,3.000000,79.163643,,,
208033,a3c,3.000000,80.376923,,,
209009,a3c,-1.000000,81.503029,,,
210049,a3c,3.000000,78.479706,,,
211055,a3c,3.000000,79.711296,,,
212005,a3c,3.000000,69.093742,,,
213042,a3c,3.000000,67.050240,,,
214012,a3c,2.982167,79.743683,,,
215000,a3c,3.000000,81.747993,,,
216037,a3c,3.000000,62.681068,,,
217059,a3c,3.000000,68.273392,,,
218013,a3c,3.000000,86.059418,,,
219052,a3c,2.982167,67.936493,,,
220037,a3c,3.000000,84.039680,,,
221040,a3c,3.000000,82.578140,,,
222052,a3c,3.000000,64.999146,,,
223012,a3c,2.982167,82.945190,,,
224032,a3c,3.000000,84.654572,,,
225011,a3c,3.000000,84.174995,,,
226057,a3c,2.982167,73.179825,,,
227013,a3c,3.000000,64.342278,,,
228049,a3c,2.982167,83.774376,,,
229052,a3c,3.000000,63.612621,,,
230022,a3c,3.000000,80.168663,,,
231011,a3c,2.982167,69.537743,,,
232040,a3c,3.000000,74.473686,,,
233014,a3c,3.000000,80.704163,,,
234012,a3c,3.000000,82.689262,,,
235007,a3c,2.982167,82.987007,,,
236045,a3c,3.000000,79.925232,,,
237016,a3c,2.982167,69.374756,,,
238035,a3c,3.000000,82.139221,,,
239005,a3c,3.000000,83.862656,,,
240035,a3c,2.982167,58.157249,,,
241012,a3c,3.000000,81.833344,,,
242028,a3c,3.000000,88.307335,,,
243011,a3c,2.982167,81.312149,,,
244039,a3c,3.000000,77.234909,,,
245050,a3c,3.000000,68.510811,,,
246037,a3c,2.982167,84.450233,,,
247048,a3c,3.000000,81.285202,,,
248009,a3c,3.000000,73.147308,,,
249062,a3c,2.982167,80.507256,,,
250020,a3c,-1.000000,89.022926,,,
251023,a3c,2.982167,73.016685,,,
252042,a3c,2.982167,67.837845,,,
253024,a3c,3.000000,83.182144,,,
254054,a3c,3.000000,86.386032,,,
255018,a3c,3.000000,87.859283,,,
256008,a3c,2.982167,67.225807,,,
257024,a3c,3.000000,87.326714,,,
258011,a3c,2.982167,87.197182,,,
259054,a3c,3.000000,59.903595,,,
260038,a3c,3.000000,62.857033,,,
261003,a3c,2.982167,84.817146,,,
262041,a3c,2.982167,68.172272,,,
263014,a3c,3.000000,79.340080,,,
264017,a3c,3.000000,78.584061,,,
265009,a3c,3.000000,83.727745,,,
266051,a3c,3.000000,61.015678,,,
267029,a3c,2.982167,84.692299,,,
268038,a3c,3.000000,77.510345,,,
269045,a3c,2.982167,80.674561,,,
270043,a3c,-1.000000,75.409576,,,
271026,a3c,3.000000,65.070511,,,
272036,a3c,3.000000,82.041107,,,
273014,a3c,2.982167,80.407059,,,
274049,a3c,3.000000,82.890350,,,
275035,a3c,3.000000,60.518993,,,
276019,a3c,3.000000,82.012032,,,
277005,a3c,3.000000,74.961502,,,
278008,a3c,3.000000,86.367249,,,
279036,a3c,3.000000,72.118484,,,
280006,a3c,-1.000000,55.059998,,,
281000,a3c,2.982167,78.058655,,,
282026,a3c,3.000000,81.622322,,,
283005,a3c,3.000000,80.028992,,,
284001,a3c,2.982167,80.963844,,,
285019,a3c,3.000000,65.941498,,,
286007,a3c,2.982167,83.592003,,,
287012,a3c,3.000000,65.765038,,,
288009,a3c,3.000000,81.486534,,,
289027,a3c,2.982167,83.441505,,,
290000,a3c,2.982167,78.048363,,,
291030,a3c,3.000000,67.787529,,,
292020,a3c,2.982167,76.958298,,,
293014,a3c,3.000000,84.225380,,,
294022,a3c,3.000000,85.955193,,,
295031,a3c,3.000000,64.376671,,,
296004,a3c,3.000000,78.124207,,,
297031,a3c,3.000000,85.316414,,,
298029,a3c,3.000000,59.903355,,,
299036,a3c,3.000000,79.855980,,,
300003,a3c,3.000000,71.008354,,,
